date_updated,state,start_date,end_date,tot_cases,new_cases,tot_deaths,new_deaths,new_historic_cases,new_historic_deaths
08/20/2020,CT,08/13/2020,08/19/2020,51314,607,4455,6,0,0
08/20/2020,ID,08/13/2020,08/19/2020,28680,2546,289,43,0,0
08/20/2020,NH,08/13/2020,08/19/2020,7036,149,427,7,0,0
08/20/2020,AZ,08/13/2020,08/19/2020,195560,6117,4632,286,0,0
08/20/2020,VA,08/13/2020,08/19/2020,109025,6503,2410,66,0,0
08/20/2020,MI,08/13/2020,08/19/2020,104091,5361,6616,78,0,0
08/20/2020,NJ,08/13/2020,08/19/2020,191483,2780,15905,30,0,0
08/20/2020,KY,08/13/2020,08/19/2020,40927,3981,841,52,0,0
08/20/2020,MN,08/13/2020,08/19/2020,66473,4330,1916,63,0,0
08/20/2020,CO,08/13/2020,08/19/2020,54126,2330,1869,23,0,0
08/20/2020,PW,08/13/2020,08/19/2020,0,0,0,0,0,0
08/20/2020,VI,08/13/2020,08/19/2020,828,189,9,0,0,0
08/20/2020,KS,08/13/2020,08/19/2020,35301,3314,429,27,0,0
08/20/2020,MO,08/13/2020,08/19/2020,72473,8448,1454,80,0,0
08/20/2020,ME,08/13/2020,08/19/2020,4234,164,127,1,0,0
08/20/2020,GA,08/13/2020,08/19/2020,243981,17878,4849,394,0,0
08/20/2020,TN,08/13/2020,08/19/2020,135863,11118,1453,163,0,0
08/20/2020,OH,08/13/2020,08/19/2020,110870,6622,3621,156,0,0
08/20/2020,MS,08/13/2020,08/19/2020,74556,5182,2164,175,0,0
08/20/2020,DE,08/13/2020,08/19/2020,16474,481,628,4,0,0
08/20/2020,RMI,08/13/2020,08/19/2020,0,0,0,0,0,0
08/20/2020,MP,08/13/2020,08/19/2020,54,5,2,0,0,0
08/20/2020,TX,08/13/2020,08/19/2020,568182,49405,11158,1381,0,0
08/20/2020,PA,08/13/2020,08/19/2020,130414,5108,7571,119,0,0
08/20/2020,MD,08/13/2020,08/19/2020,101654,4271,3661,49,0,0
08/25/2022,GU,08/18/2022,08/24/2022,57599,495,389,0,0,0
08/25/2022,MD,08/18/2022,08/24/2022,1215687,8673,15136,43,0,0
08/25/2022,DE,08/18/2022,08/24/2022,301515,1842,3098,14,0,0
08/25/2022,MP,08/18/2022,08/24/2022,13050,102,40,1,0,0
08/25/2022,KS,08/18/2022,08/24/2022,858783,5095,8965,13,0,0
08/25/2022,SD,08/18/2022,08/24/2022,256255,1585,2984,5,0,0
08/25/2022,TN,08/18/2022,08/24/2022,2270438,27904,27311,95,0,0
08/25/2022,IN,08/18/2022,08/24/2022,1882527,15018,24377,66,0,0
08/25/2022,AL,08/18/2022,08/24/2022,1463933,14121,20041,15,0,0
08/25/2022,UT,08/18/2022,08/24/2022,1026270,3197,4953,13,0,0
08/25/2022,AS,08/18/2022,08/24/2022,8168,126,34,1,0,0
08/25/2022,PA,08/18/2022,08/24/2022,3167636,20222,46501,98,0,0
08/25/2022,WA,08/18/2022,08/24/2022,1777441,8636,13720,117,0,0
08/25/2022,WV,08/18/2022,08/24/2022,576424,5349,7257,34,0,0
08/25/2022,ME,08/18/2022,08/24/2022,281162,1231,2505,8,0,0
08/25/2022,NYC,08/18/2022,08/24/2022,2802836,17348,41481,101,0,0
08/25/2022,NY,08/18/2022,08/24/2022,3148449,15923,29268,71,0,0
08/25/2022,VI,08/18/2022,08/24/2022,22481,203,122,0,0,0
07/14/2022,AK,7/7/22,07/13/2022,266706,2133,1275,5,0,0
08/25/2022,HI,08/18/2022,08/24/2022,338595,2262,1655,7,0,0
08/25/2022,OK,08/18/2022,08/24/2022,1150028,9676,14642,20,0,0
08/25/2022,KY,08/18/2022,08/24/2022,1541765,19990,16603,63,0,0
08/25/2022,CA,08/18/2022,08/24/2022,11006684,76450,93792,302,0,0
08/25/2022,SC,08/18/2022,08/24/2022,1661020,10272,18245,18,0,0
08/25/2022,DC,08/18/2022,08/24/2022,165573,849,1376,2,0,0
08/25/2022,WI,08/18/2022,08/24/2022,1822216,11464,15026,31,0,0
08/25/2022,NV,08/18/2022,08/24/2022,832159,2546,11375,22,0,0
08/25/2022,NC,08/18/2022,08/24/2022,3098924,23959,25845,82,0,0
08/25/2022,AZ,08/18/2022,08/24/2022,2245713,8505,31047,65,0,0
08/25/2022,OR,08/18/2022,08/24/2022,873957,5054,8365,40,0,0
08/25/2022,MI,08/18/2022,08/24/2022,2751201,19414,37907,133,0,0
08/25/2022,ID,08/18/2022,08/24/2022,487329,1840,5100,19,0,0
08/25/2022,LA,08/18/2022,08/24/2022,1418197,11150,17822,79,0,0
08/25/2022,NE,08/18/2022,08/24/2022,519181,2758,4391,2,0,0
08/25/2022,RI,08/18/2022,08/24/2022,396984,1598,3636,4,0,0
08/25/2022,NH,08/18/2022,08/24/2022,343190,1148,2652,6,0,0
08/25/2022,FSM,08/18/2022,08/24/2022,6925,22,22,1,0,0
08/25/2022,MN,08/18/2022,08/24/2022,1630775,9631,13309,42,0,0
08/25/2022,VA,08/18/2022,08/24/2022,2021539,18768,21296,121,0,0
08/25/2022,NJ,08/18/2022,08/24/2022,2661873,16144,34487,67,0,0
08/25/2022,MT,08/18/2022,08/24/2022,304168,1714,3501,12,0,0
08/25/2022,CT,08/18/2022,08/24/2022,872027,4268,11195,15,0,0
08/25/2022,WY,08/18/2022,08/24/2022,174213,726,1877,6,0,0
08/25/2022,MS,08/18/2022,08/24/2022,904905,7190,12766,16,0,0
08/25/2022,NM,08/18/2022,08/24/2022,608006,3821,8386,52,0,0
08/25/2022,VT,08/18/2022,08/24/2022,139553,516,765,7,0,0
08/25/2022,RMI,08/18/2022,08/24/2022,13932,7326,14,5,0,0
08/25/2022,AR,08/18/2022,08/24/2022,925881,6247,11878,47,0,0
08/25/2022,TX,08/18/2022,08/24/2022,7728448,54525,89744,188,0,0
08/25/2022,CO,08/18/2022,08/24/2022,1627739,6363,13157,38,0,0
08/25/2022,OH,08/18/2022,08/24/2022,3026110,24067,39294,90,0,0
08/25/2022,ND,08/18/2022,08/24/2022,262554,1509,2353,8,0,0
08/25/2022,IA,08/18/2022,08/24/2022,837739,4802,9905,25,0,0
08/25/2022,PR,08/18/2022,08/24/2022,910198,13793,4923,43,0,0
08/25/2022,IL,08/18/2022,08/24/2022,3661342,25280,39235,90,0,0
08/25/2022,MA,08/18/2022,08/24/2022,1996454,9069,21342,58,0,0
08/25/2022,GA,08/18/2022,08/24/2022,2852705,23422,39606,151,0,0
08/25/2022,PW,08/18/2022,08/24/2022,5279,33,6,0,0,0
08/25/2022,MO,08/18/2022,08/24/2022,1609196,9754,21348,47,0,0
08/25/2022,FL,08/18/2022,08/24/2022,6998370,45419,78896,416,0,0
08/26/2021,MS,08/19/2021,08/25/2021,420174,23780,8180,264,0,0
08/26/2021,AS,08/19/2021,08/25/2021,0,0,0,0,0,0
08/26/2021,OK,08/19/2021,08/25/2021,534922,15899,7810,136,0,0
08/26/2021,IL,08/19/2021,08/25/2021,1499022,24737,26336,153,0,0
08/26/2021,GU,08/19/2021,08/25/2021,9867,667,145,1,0,0
08/26/2021,IN,08/19/2021,08/25/2021,833968,24423,14340,142,0,0
08/26/2021,DE,08/19/2021,08/25/2021,116046,2305,1912,24,0,0
08/26/2021,NM,08/19/2021,08/25/2021,227636,5676,4488,29,0,0
08/26/2021,VT,08/19/2021,08/25/2021,27059,792,280,7,0,0
08/26/2021,ND,08/19/2021,08/25/2021,115666,1743,1557,7,0,0
08/26/2021,PW,08/19/2021,08/25/2021,4,2,0,0,0,0
08/26/2021,UT,08/19/2021,08/25/2021,457094,7846,2602,56,0,0
08/26/2021,RMI,08/19/2021,08/25/2021,4,0,0,0,0,0
08/26/2021,CO,08/19/2021,08/25/2021,604142,10682,7127,63,0,0
08/26/2021,FL,08/19/2021,08/25/2021,3071489,93056,42252,1114,0,0
08/26/2021,NYC,08/19/2021,08/25/2021,1023690,13416,33728,70,0,0
08/26/2021,IA,08/19/2021,08/25/2021,400082,7112,6268,42,0,0
08/26/2021,CA,08/19/2021,08/25/2021,4345722,94848,64801,511,0,0
08/26/2021,NH,08/19/2021,08/25/2021,105883,1894,1408,12,0,0
08/26/2021,OR,08/19/2021,08/25/2021,263164,15298,3086,114,0,0
08/26/2021,ID,08/19/2021,08/25/2021,216061,4528,2315,35,0,0
08/26/2021,VA,08/19/2021,08/25/2021,747641,19117,11709,82,0,0
08/26/2021,DC,08/19/2021,08/25/2021,54156,1132,1155,2,0,0
08/26/2021,NJ,08/19/2021,08/25/2021,1079900,14164,26795,74,0,0
08/26/2021,CT,08/19/2021,08/25/2021,369132,4241,8335,27,0,0
08/26/2021,FSM,08/19/2021,08/25/2021,7,0,0,0,0,0
08/26/2021,KY,08/19/2021,08/25/2021,561517,29569,7573,116,0,0
08/26/2021,NV,08/19/2021,08/25/2021,384116,8051,6376,128,0,0
08/26/2021,SC,08/19/2021,08/25/2021,702894,29722,10357,216,0,0
08/26/2021,RI,08/19/2021,08/25/2021,152310,1936,2750,12,0,0
08/26/2021,AZ,08/19/2021,08/25/2021,991309,18384,18638,134,0,0
08/26/2021,LA,08/19/2021,08/25/2021,671237,32794,12225,435,0,0
08/26/2021,NC,08/19/2021,08/25/2021,1180874,45457,14747,365,0,0
08/26/2021,WY,08/19/2021,08/25/2021,72528,2684,835,26,0,0
08/26/2021,MN,08/19/2021,08/25/2021,640059,9926,7980,67,0,0
